Henry Hub Natural Gas Spot Price (Dollars per Million Btu),U.S. Natural Gas Liquid Composite Price (Dollars per Million Btu),Natural Gas Futures Contract 1 (Dollars per Million Btu),Natural Gas Futures Contract 2 (Dollars per Million Btu),Natural Gas Futures Contract 3 (Dollars per Million Btu),Natural Gas Futures Contract 4 (Dollars per Million Btu),Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Pipeline Imports Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Pipeline Exports (Dollars per Thousand Cubic Feet),Price of Liquefied U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),Date...16,U.S. Natural Gas Gross Withdrawals (MMcf),U.S. Natural Gas Marketed Production (MMcf),U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),U.S. Dry Natural Gas Production (MMcf),Date...21,U.S. Natural Gas Total Consumption (MMcf),U.S. Natural Gas Lease and Plant Fuel Consumption (MMcf),U.S. Natural Gas Pipeline & Distribution Use (MMcf),Natural Gas Delivered to Consumers in the U.S. (MMcf),U.S. Natural Gas Residential Consumption (MMcf),Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),U.S. Natural Gas Industrial Consumption (MMcf),U.S. Natural Gas Vehicle Fuel Consumption (MMcf),U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf),Date...31,U.S. Natural Gas Imports (MMcf),U.S. Natural Gas Pipeline Imports (MMcf),U.S. Liquefied Natural Gas Imports (MMcf),U.S. Natural Gas Exports (MMcf),U.S. Natural Gas Pipeline Exports (MMcf),Liquefied U.S. Natural Gas Exports (MMcf),Date...38
5.83,13.46,5.599,5.561,5.532,5.579,5.95,5.98,6.35,6.24,11.68,6.84,10.56,9.65,6.93,2010 Jan,2210163,1824143,86910,1737233,2010 Jan,2809788,105622,79950,2624217,932605,499107,644259,2434,545811,2010 Jan,384586,328175,56410,93570,91632,1939,2010 Jan
5.32,13.23,5.215,5.211,5.272,5.344,5.62,5.63,5.87,5.74,7.97,6.64,10.69,9.71,6.76,2010 Feb,2047815,1682869,80179,1602690,2010 Feb,2480950,97743,70460,2312746,794779,440859,595295,2199,479615,2010 Feb,324124,278308,45816,87820,82732,5088,2010 Feb
4.29,11.89,4.301,4.371,4.447,4.536,4.87,4.91,5.1,4.95,12.36,6.5,10.99,9.7,6.01,2010 Mar,2276546,1864519,88833,1775686,2010 Mar,2142925,108557,60147,1974222,579243,337183,598498,2434,456864,2010 Mar,318769,281677,37092,99574,97639,1935,2010 Mar
4.03,11.62,4.088,4.181,4.3,4.393,4.13,4.13,4.76,4.36,12.21,5.88,11.97,9.57,5.12,2010 Apr,2190270,1813312,86394,1726918,2010 Apr,1691813,104763,46922,1540128,313171,215375,537745,2356,471481,2010 Apr,298464,256909,41555,75938,72086,3852,2010 Apr
4.14,11.29,4.155,4.245,4.323,4.39,4.13,4.1,4.68,4.51,11.94,5.81,13.12,9.5,5.08,2010 May,2236507,1886476,89880,1796596,2010 May,1617274,107550,44635,1465089,197513,161154,544323,2434,559665,2010 May,297801,260993,36808,85725,83795,1930,2010 May
4.8,10.93,4.785,4.832,4.876,4.969,4.23,4.21,4.98,4.79,8.27,6.02,14.86,9.72,5.04,2010 Jun,2138770,1802492,85878,1716613,2010 Jun,1649515,102824,45728,1500962,134038,129712,529191,2356,705665,2010 Jun,282260,249738,32521,90040,85009,5031,2010 Jun
4.63,10.18,4.59,4.592,4.659,4.914,4.4,4.33,5.25,4.9,12.83,6.31,16.21,10.04,5.49,2010 Jul,2208753,1896082,90337,1805745,2010 Jul,1825828,106759,50825,1668244,111307,120183,537138,2434,897182,2010 Jul,328655,292383,36271,85851,82009,3842,2010 Jul
4.32,10.48,4.22,4.268,4.495,4.753,4.13,4.04,4.89,4.69,13.19,6.22,16.65,9.94,5.37,2010 Aug,2235038,1917995,91381,1826614,2010 Aug,1878926,108019,52357,1718550,107074,126673,539366,2434,943002,2010 Aug,304901,283321,21580,84164,82235,1928,2010 Aug
3.89,11.02,3.898,4.099,4.35,4.508,3.76,3.65,4.64,4.16,9.85,5.72,15.63,9.56,4.61,2010 Sep,2238147,1861038,88668,1772370,2010 Sep,1637491,107186,45244,1485061,117299,132944,535739,2356,696723,2010 Sep,281518,252926,28592,79475,72811,6664,2010 Sep
3.43,12.15,3.6,3.958,4.176,4.203,3.83,3.72,4.41,3.99,9.04,5.7,13.37,9.27,4.73,2010 Oct,2356947,1956114,93197,1862916,2010 Oct,1664938,112815,45889,1506234,201580,185337,546520,2434,570363,2010 Oct,294744,260680,34064,95974,88069,7906,2010 Oct
3.71,12.71,4.042,4.208,4.211,4.179,3.96,3.85,4.42,4.1,8.18,5.48,10.89,8.86,4.6,2010 Nov,2276710,1892658,90174,1802484,2010 Nov,1973294,109026,55118,1809151,446801,286696,576758,2356,496539,2010 Nov,273165,241582,31583,123537,113969,9567,2010 Nov
4.25,13.07,4.283,4.303,4.291,4.275,4.56,4.51,5.01,4.57,8.5,5.74,9.98,8.82,5.5,2010 Dec,2400418,1984174,94534,1889640,2010 Dec,2714054,114763,76849,2522442,847001,467371,641361,2434,564274,2010 Dec,351773,323054,28718,135121,120010,15111,2010 Dec
4.49,13.03,4.499,4.497,4.492,4.529,4.66,4.55,5.11,4.74,8.2,5.69,9.9,8.74,5.66,2011 Jan,2299298,1952732,92165,1860566,2011 Jan,2888640,106975,82626,2699039,969775,527999,658927,2546,539792,2011 Jan,371919,331655,40264,135721,121333,14388,2011 Jan
4.09,13.65,4.036,4.079,4.142,4.203,4.49,4.43,4.79,4.58,9.71,5.75,10.14,8.88,5.77,2011 Feb,2104330,1728929,81602,1647326,2011 Feb,2452403,96973,69965,2285465,767994,431732,599754,2299,483686,2011 Feb,311154,279147,32006,125014,119966,5049,2011 Feb
3.97,14.38,4.069,4.139,4.207,4.277,4.24,4.1,4.52,4.31,10.28,5.73,10.43,8.89,5.21,2011 Mar,2410884,2002359,94508,1907851,2011 Mar,2230493,111445,62944,2056105,594929,360938,615767,2546,481926,2011 Mar,315408,276870,38538,144360,139347,5013,2011 Mar
4.24,15.45,4.272,4.333,4.406,4.449,4.35,4.21,4.78,4.55,8.25,5.62,11.27,9.02,5.34,2011 Apr,2349720,1960847,92549,1868299,2011 Apr,1825023,108766,50979,1665278,340552,232006,568804,2464,521453,2011 Apr,277936,244811,33125,126374,118630,7743,2011 Apr
4.31,15.62,4.336,4.394,4.436,4.461,4.31,4.26,4.88,4.62,8.62,5.8,12.5,9.35,5.21,2011 May,2410866,2030695,95845,1934850,2011 May,1667396,111897,46204,1509295,205399,166250,563102,2546,571998,2011 May,271252,236032,35220,131797,123355,8442,2011 May
4.54,15.23,4.516,4.544,4.566,4.608,4.6,4.37,4.83,4.71,11.6,6.12,14.7,9.57,5.21,2011 Jun,2312943,1954453,92247,1862207,2011 Jun,1657334,107452,46037,1503845,132672,133856,535440,2464,699414,2011 Jun,266617,239270,27347,119470,117541,1929,2011 Jun
4.42,15.8,4.353,4.339,4.37,4.499,4.39,4.3,4.82,4.64,12.72,6.16,16.14,9.58,5.05,2011 Jul,2340293,2032795,95944,1936850,2011 Jul,1890515,109606,52900,1728010,114187,130147,542556,2546,938575,2011 Jul,293477,273250,20226,113280,110687,2593,2011 Jul
4.06,15.24,3.984,3.995,4.137,4.347,4.4,4.09,4.63,4.51,11.6,6.19,16.67,9.77,5.21,2011 Aug,2370440,2056617,97069,1959548,2011 Aug,1891783,110980,52896,1727907,112280,137962,553670,2546,921449,2011 Aug,280284,250028,30256,111404,109478,1926,2011 Aug
3.9,15.88,3.849,3.954,4.175,4.294,3.92,3.87,4.87,4.19,12.76,5.94,15.63,9.46,4.84,2011 Sep,2358169,1987134,93789,1893345,2011 Sep,1655634,109465,45927,1500242,122751,141634,549196,2464,684198,2011 Sep,251846,231467,20380,126744,116779,9965,2011 Sep
3.57,15.71,3.624,3.867,4.002,4.015,4.06,3.66,4.14,3.92,12.54,5.45,12.85,8.94,4.71,2011 Oct,2502387,2118735,100000,2018734,2011 Oct,1744454,116320,48362,1579772,225506,206142,570646,2546,574932,2011 Oct,282159,251450,30709,109513,106643,2870,2011 Oct
3.24,15.7,3.558,3.678,3.694,3.682,3.58,3.55,4.24,3.8,15.29,5.29,10.78,8.62,4.64,2011 Nov,2475947,2076152,97991,1978161,2011 Nov,2031872,114768,56945,1860159,434502,286449,594199,2464,542546,2011 Nov,248908,233640,15268,127599,122730,4869,2011 Nov
3.17,15.31,3.246,3.284,3.311,3.363,3.66,3.49,4.08,3.73,12.83,5.03,9.83,8.3,4.59,2011 Dec,2543747,2134904,100764,2034141,2011 Dec,2541878,117941,72000,2351937,693232,400205,642060,2546,613894,2011 Dec,297733,272133,25600,134374,129159,5215,2011 Dec
2.67,13.82,2.708,2.758,2.852,2.922,3.27,3.22,3.66,3.25,11.83,4.85,9.62,8.04,4.58,2012 Jan,2571350,2152698,106430,2046268,2012 Jan,2756180,118883,79832,2557465,794368,445861,665876,2538,648823,2012 Jan,281131,265323,15808,130464,124265,6199,2012 Jan
2.51,12.47,2.526,2.68,2.79,2.878,2.86,2.75,3.06,2.93,11.3,4.73,9.47,7.76,4.19,2012 Feb,2360061,1974431,97616,1876815,2012 Feb,2500654,109038,72395,2319221,662056,387045,623215,2375,644530,2012 Feb,269906,249762,20144,130175,128295,1880,2012 Feb
2.17,13.13,2.296,2.404,2.509,2.605,2.36,2.31,2.74,2.59,10.67,4.84,10.41,8.16,3.71,2012 Mar,2524260,2118693,104749,2013944,2012 Mar,2127761,117005,60866,1949890,403150,261564,608538,2538,674099,2012 Mar,265152,245881,19271,141164,138549,2615,2012 Mar
1.95,12.72,2.048,2.154,2.274,2.35,2.04,2.01,2.28,2.28,8.54,4.19,10.94,8.04,3.21,2012 Apr,2417498,2044519,101082,1943437,2012 Apr,1953071,112909,55702,1784460,279211,208940,579515,2457,714338,2012 Apr,243018,235466,7552,123150,123132,18,2012 Apr
2.43,10.83,2.493,2.569,2.624,2.667,2.29,2.15,2.79,2.5,16.1,4.3,12.61,8.14,3.02,2012 May,2490707,2121367,104881,2016486,2012 May,1873835,117153,53175,1703507,163083,149137,576282,2538,812467,2012 May,259023,242811,16212,132979,130168,2811,2012 May
2.46,8.7,2.498,2.539,2.576,2.676,2.35,2.33,2.93,2.65,17.55,4.63,14.18,8.44,3.34,2012 Jun,2376776,2039909,100854,1939055,2012 Jun,1868356,112654,53145,1702557,123336,131071,565812,2457,879881,2012 Jun,259732,251476,8256,125140,122741,2399,2012 Jun
